day,temperature_max,temperature_min,humidity,precip_intensity,precip_intensity_max,pressure,visibility,wind_speed,oil_price,lettuce_price,onion_price,tomato_price
2015-01-31 00:00:00+00:00,0.86,0.22,0.8664285714285713,2.21,2.45,101.42,450.37,0.55,31.509143333333327,0.332,0.36200000000000004,0.39
2015-02-28 00:00:00+00:00,0.8,0.19,0.8421428571428572,0.01,0.02,101.66,559.4,0.42,33.266871428571434,0.3325,0.3325,0.3325
2015-03-31 00:00:00+00:00,1.12,0.38,0.7918749999999999,0.0,0.02,102.05,487.51,0.49,31.9953064516129,0.3225,0.7225,1.1600000000000001
2015-04-30 00:00:00+00:00,1.56,0.46,0.766,0.0,0.4,102.16,508.75,0.4,36.37154333333333,0.315,0.40750000000000003,1.13
2015-05-31 00:00:00+00:00,1.61,0.86,0.7806249999999999,0.01,3.51,101.56,604.2,0.47,38.65715806451613,0.308,0.242,0.914
2015-06-30 00:00:00+00:00,2.12,1.11,0.7320000000000001,0.0,0.78,102.03,612.59,0.39,38.32116,0.3,0.24,0.8150000000000001
2015-07-31 00:00:00+00:00,2.15,1.24,0.7673333333333334,0.11,0.01,101.5,572.04,0.46,33.00504516129032,0.308,0.238,0.7539999999999999
2015-08-31 00:00:00+00:00,2.09,1.31,0.829375,0.74,17.85,101.46,472.68,0.38,27.682587096774196,0.305,0.23249999999999998,0.755
2015-09-30 00:00:00+00:00,1.82,0.92,0.8133333333333332,0.0,0.1,101.84,548.91,0.34,29.595250000000007,0.31,0.2275,1.1225
2015-10-31 00:00:00+00:00,1.49,0.87,0.87,0.01,0.02,101.75,472.01,0.27,30.37166774193549,0.3,0.23199999999999998,1.122
2015-11-30 00:00:00+00:00,1.33,0.86,0.8926666666666666,0.13,1.08,101.69,470.15,0.55,28.327536666666663,0.305,0.23,0.7525000000000001
2015-12-31 00:00:00+00:00,1.32,0.97,0.8653333333333334,0.01,2.76,101.86,538.23,0.72,25.019983870967746,0.305,0.23,0.2675
2016-01-31 00:00:00+00:00,0.94,0.38,0.8787499999999999,1.58,14.26,100.91,515.0,0.53,22.596299999999996,0.3539999999999999,0.31,0.334
2016-02-29 00:00:00+00:00,0.93,0.31,0.8142857142857142,0.0,0.03,100.97,544.41,0.54,21.762196551724138,0.35749999999999993,0.31,0.3375
2016-03-31 00:00:00+00:00,1.11,0.37,0.7912499999999999,0.01,21.96,101.5,474.68,0.43,26.962051612903224,0.33999999999999997,0.31,0.8225
2016-04-30 00:00:00+00:00,1.28,0.42,0.7586666666666667,0.0,0.03,101.32,601.94,0.4,28.80380333333333,0.35,0.308,1.2760000000000002
2016-05-31 00:00:00+00:00,1.82,0.96,0.769375,0.0,0.03,101.42,563.23,0.35,32.45080322580645,0.3475,0.27,0.8724999999999999
2016-06-30 00:00:00+00:00,1.96,1.27,0.8306666666666666,0.9,0.05,101.41,538.93,0.35,34.404313333333334,0.32,0.25,0.825
2016-07-31 00:00:00+00:00,2.23,1.4,0.7873333333333332,0.02,2.72,101.81,536.47,0.39,34.38737096774193,0.314,0.25,0.868
2016-08-31 00:00:00+00:00,2.3,1.39,0.77625,0.61,0.03,101.89,595.13,0.38,34.44087419354839,0.35250000000000004,0.23,0.9825
2016-09-30 00:00:00+00:00,2.09,1.26,0.8273333333333333,0.1,1.07,101.67,585.46,0.32,34.36388,0.35400000000000004,0.23000000000000004,0.986
2016-10-31 00:00:00+00:00,1.57,0.8,0.8306666666666669,0.43,2.01,102.21,490.87,0.25,40.31835806451612,0.3275,0.22999999999999998,1.0274999999999999
2016-11-30 00:00:00+00:00,1.04,0.37,0.8433333333333335,0.78,1.18,101.4,539.27,0.38,36.694880000000005,0.34750000000000003,0.20750000000000002,0.7749999999999999
2016-12-31 00:00:00+00:00,0.98,0.38,0.8893333333333334,0.4,1.86,102.76,393.23,0.28,42.08604193548386,0.36,0.722,0.722
2017-01-31 00:00:00+00:00,0.76,0.12,0.885,0.93,1.29,102.31,440.03,0.31,42.89862258064516,0.44,0.44,0.44
2017-02-28 00:00:00+00:00,0.95,0.45,0.8728571428571429,0.36,1.69,101.46,437.43,0.48,42.985707142857144,0.5375000000000001,0.5375000000000001,0.5375000000000001
2017-03-31 00:00:00+00:00,1.31,0.66,0.8293750000000001,0.41,3.57,101.47,493.71,0.51,40.30019428571428,0.42400000000000004,0.8540000000000001,1.284
2017-04-30 00:00:00+00:00,1.45,0.49,0.7473333333333334,0.58,2.68,102.25,584.96,0.31,40.55158387096774,0.38749999999999996,0.305,1.55
2017-05-31 00:00:00+00:00,1.78,0.99,0.8126666666666668,0.39,6.39,101.73,545.26,0.36,37.71209032258065,0.34,0.26,0.9999999999999999
2017-06-30 00:00:00+00:00,2.16,1.29,0.7766666666666667,0.43,2.03,101.35,522.68,0.39,35.38409333333333,0.338,0.268,0.914
2017-07-31 00:00:00+00:00,2.23,1.44,0.7856250000000001,0.32,7.0,101.41,601.98,0.38,35.93438387096773,0.3025,0.2525,0.9450000000000001
2017-08-31 00:00:00+00:00,2.15,1.3,0.8126666666666666,0.29,5.74,101.64,537.77,0.3,37.19959677419356,0.3175,0.25,0.8474999999999999
2017-09-30 00:00:00+00:00,1.84,1.07,0.8433333333333334,0.2,1.6,101.43,526.86,0.36,36.05622999999999,0.336,0.244,1.058
2017-10-31 00:00:00+00:00,1.65,1.0,0.854,0.34,1.92,101.96,536.35,0.43,39.15842580645162,0.3225,0.2525,0.9950000000000001
2017-11-30 00:00:00+00:00,1.16,0.45,0.8526666666666666,0.34,1.58,101.72,454.09,0.38,42.97755000000001,0.335,0.42250000000000004,0.875
2017-12-31 00:00:00+00:00,0.89,0.32,0.880625,1.47,1.09,101.33,484.44,0.54,43.3217935483871,0.33,0.526,0.69
2018-01-31 00:00:00+00:00,0.94,0.42,0.8753333333333334,0.15,0.7,101.21,434.29,0.55,46.06535806451613,0.5225000000000001,0.5225000000000001,0.5225000000000001
2018-02-28 00:00:00+00:00,0.72,0.08,0.8021428571428572,2.01,1.69,101.59,514.08,0.47,44.50291785714286,0.345,0.345,0.345
2018-03-31 00:00:00+00:00,0.93,0.29,0.8543750000000001,0.19,3.41,100.18,449.85,0.48,45.092841935483875,0.334,0.334,0.334
2018-04-30 00:00:00+00:00,1.48,0.76,0.8453333333333334,1.78,1.36,101.03,504.99,0.47,47.18105333333334,0.3175,0.6599999999999999,1.1825
2018-05-31 00:00:00+00:00,1.99,0.97,0.7649999999999999,0.54,10.25,101.7,440.85,0.53,51.89545483870967,0.3425,0.2675,1.105
2018-06-30 00:00:00+00:00,2.31,1.23,0.6613333333333332,0.72,3.34,101.6,574.34,0.84,50.58052666666668,0.322,0.242,0.8159999999999998
2018-07-31 00:00:00+00:00,2.42,1.58,0.736,4.37,2.17,101.78,162.06,0.82,53.564899999999994,0.4025,0.26,0.8475000000000001
2018-08-31 00:00:00+00:00,2.15,1.46,0.7756250000000001,6.47,0.06,101.84,166.31,1.05,52.566419354838715,0.45599999999999996,0.254,0.75
2018-09-30 00:00:00+00:00,1.94,1.18,0.7406666666666666,0.0,0.06,102.17,56.85,1.24,53.772403333333344,0.41000000000000003,0.255,1.5125
2018-10-31 00:00:00+00:00,1.66,0.99,0.7926666666666667,1.34,2.72,101.79,126.17,1.17,54.33336129032258,0.335,0.245,1.1125
2018-11-30 00:00:00+00:00,1.21,0.8,0.8366666666666667,0.03,0.04,101.3,134.48,1.56,44.06372666666665,0.326,0.46799999999999997,0.71
2018-12-31 00:00:00+00:00,1.07,0.71,0.854,3.64,11.92,101.91,401.73,1.51,38.64245161290322,0.515,0.8600000000000001,0.93
2019-01-31 00:00:00+00:00,0.8,0.24,0.846875,0.08,2.06,101.85,242.47,1.36,39.937251612903225,0.4000000000000001,0.7933333333333333,0.7933333333333333
2019-02-28 00:00:00+00:00,1.05,0.59,0.8757142857142858,0.01,10.13,102.08,406.03,1.4,42.44840714285715,0.4275,0.4275,0.4275
2019-03-31 00:00:00+00:00,1.23,0.63,0.80875,0.02,7.5,101.71,359.81,1.58,44.142412903225804,0.36200000000000004,0.852,0.9280000000000002
2019-04-30 00:00:00+00:00,1.41,0.71,0.7506666666666667,2.85,1.44,101.43,290.04,1.16,48.97267333333335,0.3325,0.28250000000000003,1.2325
2019-05-31 00:00:00+00:00,1.6,0.91,0.7686666666666666,0.04,0.01,101.82,381.41,0.96,47.390374193548396,0.316,0.268,0.876
2019-06-30 00:00:00+00:00,1.84,1.26,0.8233333333333331,0.55,19.77,101.55,287.1,1.22,43.32572333333334,0.3275,0.26,0.9725
2019-07-31 00:00:00+00:00,2.15,1.5,0.79375,0.01,0.06,101.67,238.44,1.03,46.17004193548388,0.35250000000000004,0.2575,1.0975
2019-08-31 00:00:00+00:00,2.13,1.62,0.825,0.0,0.01,101.53,1.0,1.2,45.07823225806452,0.37,0.272,1.216
