date,lettuce_price
2015-01-05,0.32
2015-01-16,0.34
2015-01-23,0.33
2015-01-30,0.33
2015-02-01,0.33
2015-02-10,0.3
2015-02-13,0.33
2015-02-20,0.34
2015-02-27,0.33
2015-03-04,0.32
2015-03-07,0.31
2015-03-13,0.32
2015-03-20,0.32
2015-03-27,0.32
2015-04-09,0.3
2015-04-12,0.31
2015-04-17,0.31
2015-04-24,0.32
2015-05-06,0.3
2015-05-15,0.3
2015-05-22,0.3
2015-05-29,0.3
2015-06-02,0.33
2015-06-03,0.33
2015-06-11,0.3
2015-06-19,0.3
2015-06-26,0.31
2015-07-08,0.31
2015-07-17,0.3
2015-07-24,0.3
2015-07-31,0.31
2015-08-05,0.32
2015-08-14,0.3
2015-08-21,0.3
2015-08-28,0.31
2015-09-01,0.33
2015-09-10,0.3
2015-09-18,0.32
2015-09-25,0.32
2015-10-04,0.31
2015-10-07,0.32
2015-10-16,0.3
2015-10-23,0.3
2015-10-30,0.3
2015-11-09,0.3
2015-11-12,0.33
2015-11-13,0.31
2015-11-20,0.31
2015-11-27,0.3
2015-12-06,0.29
2015-12-18,0.35
2015-12-25,0.23
2016-01-01,0.35
2016-01-04,0.35
2016-01-07,0.31
2016-01-15,0.35
2016-01-22,0.36
2016-01-29,0.36
2016-02-09,0.36
2016-02-12,0.36
2016-02-19,0.36
2016-02-26,0.36
2016-03-06,0.33
2016-03-18,0.34
2016-03-25,0.35
2016-04-03,0.33
2016-04-11,0.34
2016-04-15,0.35
2016-04-22,0.34
2016-04-29,0.35
2016-05-02,0.36
2016-05-08,0.34
2016-05-13,0.35
2016-05-20,0.35
2016-05-27,0.34
2016-06-05,0.35
2016-06-17,0.32
2016-06-24,0.32
2016-07-10,0.32
2016-07-15,0.31
2016-07-22,0.32
2016-07-29,0.32
2016-08-01,0.35
2016-08-04,0.36
2016-08-07,0.31
2016-08-19,0.36
2016-08-26,0.37
2016-09-09,0.37
2016-09-12,0.34
2016-09-16,0.35
2016-09-23,0.35
2016-09-30,0.34
2016-10-06,0.31
2016-10-14,0.32
2016-10-21,0.33
2016-10-28,0.34
2016-11-03,0.34
2016-11-11,0.35
2016-11-18,0.35
2016-11-25,0.35
2016-12-02,0.35
2016-12-08,0.34
2016-12-16,0.35
2016-12-23,0.35
2016-12-30,0.4
2017-01-09,0.34
2017-01-12,0.33
2017-01-13,0.44
2017-01-20,0.42
2017-01-27,0.47
2017-02-06,0.34
2017-02-17,0.53
2017-02-24,0.52
2017-03-02,0.54
2017-03-03,0.44
2017-03-11,0.33
2017-03-17,0.41
2017-03-24,0.43
2017-03-31,0.42
2017-04-08,0.31
2017-04-14,0.41
2017-04-21,0.38
2017-04-28,0.35
2017-05-05,0.35
2017-05-19,0.33
2017-05-26,0.33
2017-06-01,0.43
2017-06-10,0.32
2017-06-16,0.32
2017-06-23,0.35
2017-06-30,0.34
2017-07-04,0.41
2017-07-07,0.31
2017-07-14,0.29
2017-07-21,0.3
2017-07-28,0.31
2017-08-09,0.34
2017-08-12,0.33
2017-08-18,0.32
2017-08-25,0.32
2017-09-06,0.34
2017-09-15,0.35
2017-09-22,0.33
2017-09-29,0.32
2017-10-02,0.56
2017-10-03,0.42
2017-10-11,0.34
2017-10-13,0.32
2017-10-20,0.33
2017-10-27,0.32
2017-11-08,0.32
2017-11-17,0.34
2017-11-24,0.33
2017-12-05,0.35
2017-12-15,0.33
2017-12-22,0.33
2017-12-29,0.33
2018-01-06,0.33
2018-01-19,0.34
2018-01-26,0.34
2018-02-02,0.34
2018-02-03,0.36
2018-02-11,0.33
2018-02-16,0.35
2018-02-23,0.35
2018-03-08,0.46
2018-03-16,0.33
2018-03-23,0.33
2018-03-30,0.31
2018-04-05,0.34
2018-04-13,0.31
2018-04-20,0.33
2018-04-27,0.33
2018-05-01,1.07
2018-05-10,0.35
2018-05-18,0.35
2018-05-25,0.33
2018-06-04,0.3
2018-06-07,0.39
2018-06-15,0.32
2018-06-22,0.32
2018-06-29,0.32
2018-07-09,0.42
2018-07-12,0.34
2018-07-13,0.4
2018-07-20,0.39
2018-07-27,0.43
2018-08-06,0.32
2018-08-17,0.47
2018-08-24,0.45
2018-08-31,0.45
2018-09-02,0.34
2018-09-03,0.34
2018-09-11,0.33
2018-09-14,0.41
2018-09-21,0.41
2018-09-28,0.4
