Date,date_human,Currency,oil_price
2015-01-02,Friday 2 January 2015,OIL/GBP,34.34040
2015-01-03,Saturday 3 January 2015,OIL/GBP,34.34040
2015-01-04,Sunday 4 January 2015,OIL/GBP,34.17140
2015-01-05,Monday 5 January 2015,OIL/GBP,32.82690
2015-01-06,Tuesday 6 January 2015,OIL/GBP,31.67860
2015-01-07,Wednesday 7 January 2015,OIL/GBP,32.15760
2015-01-08,Thursday 8 January 2015,OIL/GBP,32.69980
2015-01-09,Friday 9 January 2015,OIL/GBP,31.77730
2015-01-10,Saturday 10 January 2015,OIL/GBP,31.77730
2015-01-11,Sunday 11 January 2015,OIL/GBP,31.40600
2015-01-12,Monday 12 January 2015,OIL/GBP,30.15340
2015-01-13,Tuesday 13 January 2015,OIL/GBP,30.34950
2015-01-14,Wednesday 14 January 2015,OIL/GBP,32.45760
2015-01-15,Thursday 15 January 2015,OIL/GBP,30.73200
2015-01-16,Friday 16 January 2015,OIL/GBP,32.29940
2015-01-17,Saturday 17 January 2015,OIL/GBP,32.29940
2015-01-18,Sunday 18 January 2015,OIL/GBP,32.25610
2015-01-19,Monday 19 January 2015,OIL/GBP,31.66570
2015-01-20,Tuesday 20 January 2015,OIL/GBP,30.87200
2015-01-21,Wednesday 21 January 2015,OIL/GBP,31.22900
2015-01-22,Thursday 22 January 2015,OIL/GBP,31.53680
2015-01-23,Friday 23 January 2015,OIL/GBP,30.22750
2015-01-24,Saturday 24 January 2015,OIL/GBP,30.22750
2015-01-25,Sunday 25 January 2015,OIL/GBP,29.64730
2015-01-26,Monday 26 January 2015,OIL/GBP,29.93970
2015-01-27,Tuesday 27 January 2015,OIL/GBP,29.95190
2015-01-28,Wednesday 28 January 2015,OIL/GBP,29.36300
2015-01-29,Thursday 29 January 2015,OIL/GBP,29.56900
2015-01-30,Friday 30 January 2015,OIL/GBP,31.66090
2015-01-31,Saturday 31 January 2015,OIL/GBP,31.66090
2015-02-01,Sunday 1 February 2015,OIL/GBP,31.37840
2015-02-02,Monday 2 February 2015,OIL/GBP,33.52720
2015-02-03,Tuesday 3 February 2015,OIL/GBP,34.26080
2015-02-04,Wednesday 4 February 2015,OIL/GBP,32.03160
2015-02-05,Thursday 5 February 2015,OIL/GBP,33.47300
2015-02-06,Friday 6 February 2015,OIL/GBP,34.19970
2015-02-07,Saturday 7 February 2015,OIL/GBP,34.19970
2015-02-08,Sunday 8 February 2015,OIL/GBP,34.60060
2015-02-09,Monday 9 February 2015,OIL/GBP,34.49470
2015-02-10,Tuesday 10 February 2015,OIL/GBP,33.27240
2015-02-11,Wednesday 11 February 2015,OIL/GBP,32.31120
2015-02-12,Thursday 12 February 2015,OIL/GBP,33.29090
2015-02-13,Friday 13 February 2015,OIL/GBP,34.21220
2015-02-14,Saturday 14 February 2015,OIL/GBP,34.21220
2015-02-15,Sunday 15 February 2015,OIL/GBP,34.54300
2015-02-16,Monday 16 February 2015,OIL/GBP,34.39990
2015-02-17,Tuesday 17 February 2015,OIL/GBP,35.12710
2015-02-18,Wednesday 18 February 2015,OIL/GBP,33.19970
2015-02-19,Thursday 19 February 2015,OIL/GBP,33.69630
2015-02-20,Friday 20 February 2015,OIL/GBP,32.98540
2015-02-21,Saturday 21 February 2015,OIL/GBP,32.98540
2015-02-22,Sunday 22 February 2015,OIL/GBP,32.75340
2015-02-23,Monday 23 February 2015,OIL/GBP,31.95400
2015-02-24,Tuesday 24 February 2015,OIL/GBP,31.83790
2015-02-25,Wednesday 25 February 2015,OIL/GBP,32.78480
2015-02-26,Thursday 26 February 2015,OIL/GBP,31.70410
2015-02-27,Friday 27 February 2015,OIL/GBP,32.01840
2015-02-28,Saturday 28 February 2015,OIL/GBP,32.01840
2015-03-01,Sunday 1 March 2015,OIL/GBP,32.05470
2015-03-02,Monday 2 March 2015,OIL/GBP,32.43280
2015-03-03,Tuesday 3 March 2015,OIL/GBP,32.84720
2015-03-04,Wednesday 4 March 2015,OIL/GBP,33.84280
2015-03-05,Thursday 5 March 2015,OIL/GBP,33.42320
2015-03-06,Friday 6 March 2015,OIL/GBP,33.06800
2015-03-07,Saturday 7 March 2015,OIL/GBP,33.06800
2015-03-08,Sunday 8 March 2015,OIL/GBP,32.79340
2015-03-09,Monday 9 March 2015,OIL/GBP,33.04970
2015-03-10,Tuesday 10 March 2015,OIL/GBP,32.32480
2015-03-11,Wednesday 11 March 2015,OIL/GBP,32.39890
2015-03-12,Thursday 12 March 2015,OIL/GBP,31.60970
2015-03-13,Friday 13 March 2015,OIL/GBP,30.52140
2015-03-14,Saturday 14 March 2015,OIL/GBP,30.52140
2015-03-15,Sunday 15 March 2015,OIL/GBP,29.70160
2015-03-16,Monday 16 March 2015,OIL/GBP,29.55240
2015-03-17,Tuesday 17 March 2015,OIL/GBP,30.23120
