day;temperature_max;temperature_min;humidity;precip_intensity;precip_intensity_max;pressure;visibility;wind_speed
2015-01-04 00:00:00+00:00;4.53;2.16;0.93;0;0;1035.1;2744;1.22
2015-01-06 00:00:00+00:00;10.31;2.02;0.89;0.0166;0.1362;1021.8;5541;5.04
2015-01-08 00:00:00+00:00;11.08;6.79;0.92;0.6772;5.4726;1022.2;4891;6.19
2015-01-10 00:00:00+00:00;12.7;4.67;0.82;0.0252;0.1634;1017.1;5821;11.57
2015-01-12 00:00:00+00:00;11.54;8.81;0.89;263;1.6932;1012.6;4975;11.74
2015-01-14 00:00:00+00:00;9.4;2.95;0.81;0.0794;0.9019;1005.6;6.13;8.81
2015-01-16 00:00:00+00:00;7.25;0.48;0.85;0.1265;0.9146;1005.1;6188;2.89
2015-01-18 00:00:00+00:00;4.56;-0.93;0.93;45;0.3695;1011.8;5.09;1.68
2015-01-20 00:00:00+00:00;5.19;-3.3;0.88;0.0114;0.2375;1009.6;5344;3.35
2015-01-22 00:00:00+00:00;5.4;-2.58;0.88;0;0;1019.6;3834;1.52
2015-01-24 00:00:00+00:00;9.04;1.55;0.83;0.0945;0.8525;1026.2;5857;4.54
2015-01-26 00:00:00+00:00;11.36;3.91;0.85;0.0003;0.0061;1024.7;6216;4.89
2015-01-28 00:00:00+00:00;10.25;2.99;0.83;0.0738;332;1007.8;5413;9.32
2015-01-30 00:00:00+00:00;7.42;1.81;0.82;0.0045;0.0493;979.9;6216;4.92
2015-02-01 00:00:00+00:00;5.95;0.36;0.73;0.0063;0.1092;1000.3;5969;6.96
2015-02-03 00:00:00+00:00;4.15;-1.37;0.88;0.0023;0.0405;1007.5;4878;3.13
2015-02-05 00:00:00+00:00;4.8;0.57;0.85;0.0114;0.0682;1025;5728;4.66
2015-02-07 00:00:00+00:00;6.32;-0.08;0.85;0;0;1035.1;6191;4.49
2015-02-09 00:00:00+00:00;7.87;0.32;0.89;0;0;1034.7;3942;1.45
2015-02-11 00:00:00+00:00;6.32;3.93;0.81;0;0;1024.4;6134;1.83
2015-02-13 00:00:00+00:00;8.7;4.63;0.9;0.2855;1.2457;1003.4;4503;6.8
2015-02-15 00:00:00+00:00;10.33;1.22;0.89;0;0;1013.1;4392;1.42
2015-02-17 00:00:00+00:00;9.59;-0.15;0.8;0.0007;0.0155;1035.7;6208;2.57
2015-02-19 00:00:00+00:00;8.13;4.8;0.88;0.3602;1.2911;1022.2;5905;7.08
2015-02-21 00:00:00+00:00;7.44;0.73;0.84;0.0079;0.0758;1002.4;5986;3.24
2015-02-23 00:00:00+00:00;8.88;4.32;0.82;0.0146;0.0955;993.5;6216;7.85
2015-02-25 00:00:00+00:00;12.86;6.24;0.88;0.0238;0.2292;1015.6;6048;3.05
2015-02-27 00:00:00+00:00;10.03;0.69;0.77;0;0;1019.9;6216;3.61
2015-03-01 00:00:00+00:00;10.8;5.41;0.81;0.0495;0.6309;1001.6;6058;7.93
2015-03-03 00:00:00+00:00;9.72;3.82;0.76;0.1098;1.5588;1017;6216;5.28
